id,name,status,marki,sity,adress,X,Y,telefon,site,time1,time2,pay
S68,Автодром. техцентр,Независимый,Все марки,Пушкино (Пушкинский район),Кавезинская. вл1,37.88169511,55.98481593,(499) 709-78-36,http://avtodrom24.ru/,9:00-21:00,9:00-21:00,Наличный расчет. Visa
S90,АвтоМакс. автотехцентр. г. Железнодорожный,Независимый,Все марки,Железнодорожный,Железнодорожный проезд. 1,37.9818697,55.74837274,(495) 961-48-78. 8-964-510-10-10,automaks.net,9:00-21:00,9:00-21:00,Наличный расчет
S186,Автомойка на Коптевской. 73а,Независимый,Все марки,Москва,Коптевская. 73а - 1 этаж,37.51711478,55.83274174,,,8:00-23:00,8:00-23:00,Наличный расчет
S1039,А & Я. автосервис,Независимый,Все марки,Москва,Щемиловский 1-й пер. 4/2 - 1 этаж,37.60809222,55.77746208,8-916-308-61-31,,,,Наличный расчет
S1040,ААА Смарт. техцентр,Независимый,Все марки,Балашиха,Щёлковское шоссе 20 км. вл2,37.9013342,55.82760239,(495) 737-37-67 (многоканальный),http://aaaservise.ru/,9:00-21:00,9:00-21:00,Наличный расчет. Оплата через банк. через банк
S1041,АБИКАР. технический центр,Независимый,Mersedes. Toyota. Lexus ,Москва,Рябиновая. 55 ст27 - 1 этаж,37.43263051,55.68869883,,www.abicar.ru,9:00-20:00,9:00-20:00,Наличный расчет. Оплата через банк. Visa. MasterCard. Diners Club. Золотая Корона. Maestro Card. Union Card. JCB. Универсальная Электронная Карта (УЭК). 
S1042,Абрис-Ама. техцентр,Независимый,Все марки,Москва,Поморская. 27 - 1 этаж,37.5774332,55.86905014,(499) 481-33-51,a-ama.ru,0:00 - 24:00 ,0:00 - 24:00 ,Наличный расчет. Оплата через банк. через банк
S1043,Техцентр СГ-Моторс на Юго-Западе ,Независимый,Все марки,Москва,ул. Обручева. дом 52. стр. 13  ,37.557834 ,55.645563 ,(495) 783-35-53,www.sg-motors.ru,9:00-21:00,9:00-21:00,Наличный расчет. Visa. MasterCard
S1044,Техцентр СГ-Моторс на ВДНХ ,Независимый,Все марки,Москва,ул. Докукина. д.10. стр.17 ,37.658482 ,55.839775 ,(495) 783-35-53,www.sg-motors.ru,9:00-21:00,9:00-21:00,
S1045,АБСОЛЮТсервис. автоцентр,Независимый,Все марки,Москва,Даниловская Набережная. 8 ст29,37.63812389,55.71035083,8-903-165-95-98,,9:00-21:00,10:00-20:00,Наличный расчет. Оплата через банк. через банк
S1046,АБС-Моторс. автотехцентр,Независимый,Все марки,Москва,Лавочкина. 23 ст3,37.48402251,55.86382098,(495) 940-63-17,www.abs-motors.ru,10:00-20:00,10:00-20:00,Наличный расчет. Оплата через банк. Visa. MasterCard. Maestro Card. 
S1047,Авалон. автосервис,Независимый,BMW,Москва,Ямского Поля 1-я. 30,37.58611829,55.78478825,(495) 504-83-59,www.mosauto.ru,9:00-20:00,9:00-20:00,Наличный расчет. Оплата через банк. через банк
S1048,Авангард. автотехцентр,Независимый,Все марки,Москва,Миклухо-Маклая. 15 ст1,37.50649029,55.65340618,(495) 434-00-30. 8-965-197-67-67,avg-service.ru,9:00-21:00,9:00-18:00,Наличный расчет
S1049,Аванти Моторс. автосервис,Независимый,Все марки,Москва,Берзарина. 26 к1,37.47666655,55.78889202,(499) 192-13-42. (499) 517-92-54. (495) 759-20-00,avanti-motors.ru,,,Наличный расчет. Оплата через банк. через банк
S1050,Аватар. автосервис,Независимый,Все марки,Москва,Советская. 80 - въезд с ул. Вернисажная,37.75250696,55.79806316,8-985-414-30-40. 8-985-775-60-00,http://avatar-avtoservis.ru/,9:00-20:00,9:00-20:00,Наличный расчет. Оплата через банк. через банк
S1051,АВД сервис. автотехцентр,Независимый,Все марки,Москва,Головачёва. 3 к2,37.80553671,55.67514231,(495) 772-65-93. 8-916-040-47-03,www.avtoservis-lublino.ru,10:00-19:00,10:00-19:00,Наличный расчет
S1052,Аверс XXI. автосервис,Независимый,Все марки,Москва,Ясеневая. 48,37.74761853,55.61155835,(495) 778-45-68,www.club3.ru,9:00-21:00,9:00-21:00,Наличный расчет. Оплата через банк. через банк
S1053,Аврора. автосалон,Независимый,Все марки,Москва,Каширское шоссе. 61 к3а - 2 этаж.  АТЦ Москва,37.71634017,55.61639797,(495) 225-74-46 (многоканальный). (495) 225-74-44,www.n32.ru,,,Наличный расчет. Оплата через банк. через банк
S1054,Авто Газ. техцентр,Независимый,Все марки,Москва,Магистральная 2-я. 16а,37.52928502,55.76324721,(499) 713-55-15. 8-968-808-64-65,www.avto-gaz.com,9:00-20:00,10:00-18:00,Наличный расчет. Оплата через банк. через банк
S1055,Авто глобус. автотехцентр,Независимый,Toyota. Lexus. Nissan. Suzuki. Mazda. Mitsubishi. Hyundai. Kia,Москва,Жуков проезд. 19 - 1 этаж,37.64151945,55.72271834,(495) 771-07-93. (495) 231-04-23,www.avto-globus.ru,9:00-19:00,выходной,Наличный расчет. Оплата через банк. через банк
S1056,Авто Гранд. автосервис,Независимый,Volkswagen. Audi. Skoda,Москва,Огородный проезд. 2а - 1 этаж,37.61240119,55.81027337,(495) 995-07-25. 8-926-017-07-47. (495) 928-72-48,www.agrand.ru,,,Наличный расчет. Оплата через банк. через банк
S1057,Авто Дэл. автосервис,Независимый,Все марки,Москва,Милашенкова. 4а,37.58963386,55.82474961,8-906-794-24-03,www.auto-del.ru,9:00-21:00,9:00-21:00,Наличный расчет. Оплата через банк. через банк
S1058,Авто Леон Арт. автотехцентр,Независимый,Все марки,Москва,Люблинская. 171 к1а,37.74542593,55.64695119,(495) 797-31-81 (многоканальный),www.autoleonart.ru,9:00-21:00,9:00-21:00,Наличный расчет
S1059,Авто Лидер. ООО. автосервис,Независимый,Все марки,Мытищи (Мытищинский район),Хлебозаводская. 4 ст4 - 1 этаж,37.7919646,55.91915642,(495) 778-68-68. 8-916-500-80-08. 8-916-500-90-09,autolider.pro,9:00-20:00,10:00-20:00,Наличный расчет. Оплата через банк. через банк
S1060,Авто Престиж. автосервис,Независимый,Все марки,Мытищи (Мытищинский район),Колонцова. 37/1 - вход с торца,37.76671544,55.91062762,(495) 586-32-23. (495) 772-87-14,www.avto-prestizh.ru,,,Наличный расчет
S1061,Авто Рандеву. автотехцентр,Независимый,Peugeot. Citroen,Москва,Митинский 1-й пер. 15,37.37981391,55.84849813,(495) 961-30-89. (495) 995-30-89,remont-psa.ru,9:00-21:00,9:00-21:00,Наличный расчет
S1062,Авто спец помощь. ООО. автосервис,Независимый,Все марки,Москва,Габричевского. 5 к5,37.45602501,55.81597807,(495) 782-30-24. (495) 920-99-05,www.asp-start.ru,9:00-20:00,выходной,Наличный расчет. Оплата через банк. через банк
S1063,Авто Статус. техцентр,Независимый,Все марки,Лобня,Катюшки. 43,37.44289705,56.00847158,(498) 684-30-97,,8:00-20:00,8:00-20:00,Наличный расчет. Оплата через банк. через банк
S1064,АВТО ТехКомплекс. ООО,Независимый,Все марки,Москва,Кронштадтский бульвар. 19 ст1/2,37.49537722,55.84256673,(495) 452-81-00,www.auto-kb.ru,9:00-18:00,9:00-18:00,Наличный расчет
S1065,Авто Шик. автосервис,Независимый,Все марки,Москва,Ильменский проезд. 4 ст9,37.55041491,55.85983836,(495) 989-20-21. (495) 989-63-87,autochic.ru,10:00-20:00,10:00-18:00,Наличный расчет
S1066,Авто 7777. автосервис,Независимый,Все марки,Москва,Верейская. 29,37.43599553,55.71110851,(495) 7905506. 8-963-676-24-06,www.auto7777.ru,0:00-24:00,0:00-24:00,Наличный расчет
S1067,АвтоАльянсВосток. автосервис,Независимый,Все марки,Москва,Западная. 6 ст18,37.86302038,55.81047566,8-916-259-97-04,автоальянсвосток.рф,,,Наличный расчет. Оплата через банк. через банк
S1068,Автоальянс. техцентр,Независимый,Все марки,Москва,Нагатинский 1-й проезд. 2 ст2 - 1 этаж,37.63230097,55.68273765,(499) 558-00-26,,9:00-21:00,9:00-21:00,Наличный расчет
S1069,Автобан-Моторс. автотехцентр,Независимый,Daewoo. Kia. Hyundai. Chevrolet,Москва,Дмитровское шоссе. 107 к18 - въезд с ул. Яхромский проезд,37.53939025,55.88015057,(495) 255-00-01,www.avtoban-motors.ru,10:00-20:00,10:00-19:00,Наличный расчет. Оплата через банк. Visa. MasterCard. Maestro Card. 
S1070,АвтоБокс. автотехцентр,Независимый,Volkswagen. Audi. Skoda. Seat. Porsche. BMW,Москва,Шоссейная улица. д. 90. стр. 72,37.707197,55.66438,+7 (495) 729 63 83. +7 (925) 303-73-63,http://autoboks.ru/,10:00-20:00,10:00-20:00,Наличный расчет. Оплата через банк. через банк
S1071,Автобот. автосервис,Независимый,Все марки,Москва,Завода Серп и Молот проезд. 1/2,37.69475143,55.75672619,8-926-796-69-13. 8-926-033-01-81. (495) 707-19-87,www.servislefortovo.ru,,,Наличный расчет
S1072,Автобумер. автотехнический центр,Независимый,Mercedes. BMW,Москва,Профсоюзная. 154 к1 - 1 этаж,37.50389577,55.62194866,(495) 225-39-80 (многоканальный),autobumer.ru,11:00-22:00,11:00-22:00,Наличный расчет. Оплата через банк. через банк
S1073,АВТОБУНКЕР. автосервис,Независимый,Все марки,Москва,Перова Поля 3-й проезд. 3а,37.77400362,55.75376258,(495) 749-82-73,www.avtobunker.ru,,,Наличный расчет. Оплата через банк. через банк
S1074,Автовельт-моторс. автоцентр,Независимый,Ford,Химки,Коммунальный проезд. 14,37.42148757,55.91187398,(495) 750-79-47. (495) 972-68-00,ford-m.ru,9:00-22:00,9:00-22:00,Наличный расчет
S1075,Автовест-Сервис. техцентр для корейских автомобилей,Независимый,Hyundai. Ssang Yong.  Daewoo. Kia,Подольск,Свердлова. 28 - вход с торца,37.53756201,55.42448544,8-901-533-14-30,,9:00-20:00,9:00-20:00,Наличный расчет. Оплата через банк. через банк
S1076,АвтоВираж. автотехцентр,Независимый,Все марки,Железнодорожный,Советская. 55,38.02203819,55.75166923,(495) 971-92-95. 8-926-146-14-33,,9:00-20:00,10:00-20:00,Наличный расчет. Оплата через банк. через банк
S1077,АвтоВито-Запад автотехцентр,Независимый,Mersedes,Москва,Верейская. 10 к3а - 1 этаж,37.44608906,55.71283113,(495) 638-50-62,http://www.mb-vito.ru/,9:00-20:00,9:00-20:00,Наличный расчет
S1078,АвтоВито-Юг. автосервис,Независимый,Mersedes,Москва,ул. Южнопортовая. д. 15. стр. 23а ,37.69869 ,55.707745 ,8 495 662-66-61 ,http://www.mb-vito.ru/,9:00-20:00,9:00-20:00,Наличный расчет
S1079,АвтоВито-Бутово. Автосервис,Независимый,Mersedes,Москва,ул. Феодосийская. д. 1. корп. 5 ,37.57687 ,55.561777 ,8 495 739-79-57 ,http://www.mb-vito.ru/,9:00-20:00,9:00-20:00,Наличный расчет
S1080,АвтоВи. автосервис,Независимый,Все марки,Москва,Барышиха. 35 ст1,37.33685375,55.84748653,(495) 754-09-96. 8-915-063-93-93,www.autovi.net,9:00-20:00,9:00-20:00,Наличный расчет. Оплата через банк. Visa. MasterCard. 
S1081,Автогидросистемы. автотехцентр,Независимый,Все марки,Москва,Новоостаповская. 5 ст2 - 1 этаж,37.6769806,55.72365043,(495) 507-63-55. 8-903-144-13-46,www.autogidro.ru,,,Наличный расчет. Оплата через банк. через банк
S1082,АВТОГЛОБУС. специализированный сервисный центр,Независимый,Nissan. Infiniti,Москва,Вольная. 28 - въезд с ул. Вольный 2-й пер,37.73675976,55.77546725,,www.autoglobus.ru,9:00-21:00,9:00-21:00,Наличный расчет. Оплата через банк. Visa. MasterCard. 
S1083,Автогран. технический центр,Независимый,Все марки,Москва,Авиаторов. 7,37.40297189,55.64131711,(495) 738-01-00 (многоканальный),www.autogran.ru,9:00-20:00,9:00-20:00,Наличный расчет
S1084,АВТОГРОВЕР. техцентр,Независимый,Все марки,Москва,Сетуньский 1-й проезд. 10 ст5,37.53703046,55.73428892,(495) 645-44-88 (многоканальный),www.avtogrover.ru,,,Наличный расчет
S1085,Автодаръ. автотехцентр,Независимый,"Audi. Opel. Toyota. Lexus. Volkswagen, Skoda",МО. Одинцовский р-н,пос.Заречье..ул.Торговая. стр.1. павильон 2B-21 ,37.415092 ,55.681199 , +7 (495) 971-57-70 ,http://www.autodar.ru/,,,Наличный расчет. Оплата через банк. Visa. MasterCard. Maestro Card. 
S1086,Автодар-сервис. автотехцентр,Независимый,Все марки,Москва,Ленинградский проспект. 45г - вход с торца,37.52864569,55.7965509,(495) 787-01-29. (499) 943-84-30. (499) 943-84-53,www.autodarservice.ru,,,Наличный расчет. Оплата через банк. Visa. MasterCard. 
S1087,АвтоДа. автосервис,Независимый,BMW,Москва,Ферганская. 2 - 1 этаж,37.80032923,55.71075445,8-925-585-78-35 (единая справочная),bmwpart.ru,10:00-19:00,10:00-19:00,Наличный расчет. Visa. MasterCard
S1088,Автоделоff. автосервис,Независимый,Все марки,Москва,Дербеневская. 7 ст19,37.64969966,55.72186669,(495) 210-06-09,www.avtodeloff.ru,9:00-18:00,выходной,Наличный расчет. Visa. MasterCard
S1090,АвтоДиагност. автотехцентр,Независимый,Audi. Volkswagen. Skoda. Mersedes. BMW,Москва,Угрешская. 12,37.6958803,55.71374432,(495) 661-88-58,www.auto-diagnost.ru,9:00-19:00,9:00-16:00,Наличный расчет. Оплата через банк. Visa. MasterCard. Maestro Card. 
S1091,АвтоДизайн. автотехцентр,Независимый,Все марки,Москва,Автомобильный проезд. 6,37.70162051,55.73033075,8-926-010-70-01. 8-926-010-37-00,www.dizauto.ru,10:00-20:00,10:00-17:00,Наличный расчет. Оплата через банк. через банк
S1092,Автодизайн. автоцентр,Независимый,Все марки,Железнодорожный,Советская. 15а,38.0169465,55.75140558,8-968-752-21-36. 8-926-474-82-20,,9:00-21:00,10:00-21:00,Наличный расчет. Оплата через банк. Visa. MasterCard. 
S1093,АВТОДОКТОР. автосервис,Независимый,Все марки,Москва,ул. Солнечногорская. д.4  ,37.520878 ,55.857104 ,8-926-844-74-71. 8-963-782-78-68 ,http://a-doktor.ru/,10:00-19:00,10:00-19:00,Наличный расчет. Оплата через банк. через банк
S1094,Автодок. автосервис,Независимый,Все марки,Москва,Рязанский проспект. 2 ст63,37.73765257,55.72646807,(499) 409-00-28,autodok.pro,,,Наличный расчет
S1095,Автодок. СТО,Независимый,Все марки,Подольск,Лобачева. 7,37.57107193,55.43426383,8-926-207-47-92,автодоки.рф,,,Наличный расчет. Оплата через банк. Visa. MasterCard. Diners Club. Золотая Корона. American Express. Maestro Card. Union Card. 
S1096,Автодок. техцентр,Независимый,Все марки,Щёлково (Щёлковский район),Свирская. 21а,38.00328242,55.91418741,8-926-133-60-95,,9:00-20:00,9:00-20:00,Наличный расчет
S1097,АвтоДок-С. автотехцентр,Независимый,Все марки,Москва,Электролитный проезд. 12Б - 1 этаж,37.61486607,55.67068752,8-963-750-04-05. 8-909-999-30-67,,10:00-20:00,10:00-20:00,Наличный расчет. Оплата через банк. через банк
S1098,АВТОДОР. техцентр,Независимый,Audi. Volkswagen. Skoda. Seat,Москва,Сигнальный проезд. 19 - 1 этаж,37.59313454,55.85461411,(495) 749-20-10. 8-903-549-20-10,www.vag.ru,9:00-21:00,9:00-21:00,Наличный расчет
S1099,Автозащита. автоцентр,Независимый,Все марки,Москва,Дубининская. 69 к75 - 1 этаж,37.63545938,55.7140095,(495) 922-15-91. (495) 922-15-92,www.autodefence.ru,9:00-21:00,9:00-21:00,Наличный расчет. Оплата через банк. Visa. MasterCard. Diners Club. Золотая Корона. 
S1100,Автокарат. торгово-сервисная компания,Независимый,Mercedes,Москва,Силикатный 2-й проезд. 34 ст1,37.5007645,55.77208912,(495) 933-97-87. (495) 961-08-48. (495) 961-08-38,www.autokarat.ru,9:00-21:00,9:00-21:00,Наличный расчет. Оплата через банк. Visa. MasterCard. Maestro Card. 
S1101,Автоклевер. техцентр,Независимый,Все марки,Москва,Сигнальный проезд. 19,37.59313454,55.85461411,(495) 507-72-48. 8-925-507-72-48. 8-906-078-71-48,avtoklever.ru,8:00-22:00,10:00-18:00,Наличный расчет
S1102,Автоклуб 8. сервисный центр,Независимый,BMW. Mercede. Mitsubishi. Nissan. Infiniti. Ford,Москва,Садовники. 11а,37.65803776,55.67403439,(495) 788-80-94,autoclub8.ru,8:30-21:00,8:30-21:00,Наличный расчет. Visa. MasterCard. Maestro Card
S1103,АвтоКлуб. технический центр,Независимый,Chevrolet. Opel. Daewoo. Hyundai. ,Москва,Лермонтовский проспект. 21а - 1. 2 этаж,37.85936948,55.70007266,(495) 984-52-15 (многоканальный). (495) 961-88-44. (495) 968-38-28,www.gmclub.ru,9:00-20:00,9:00-20:00,Наличный расчет. Оплата через банк. Visa. MasterCard. через банк. Visa. MasterCard
S1104,Автокомплекс на ул. Кирова. 19 ст1,Независимый,Все марки,Старая Купавна (Ногинский район),Кирова. 19 ст1,38.18275756,55.80385404,,,9:00-19:00,9:00-19:00,Наличный расчет
S1105,Автокредо Плюс. автосервис,Независимый,Все марки,Москва,Плеханова. 10а - 34 бокс.  1 этаж,37.75983943,55.74838058,8-903-138-83-83,http://www.avtokredoplus.ru/,,,Наличный расчет. Оплата через банк. через банк
S1106,АВТОКРУГ. техцентр,Независимый,Audi. Volkswagen. Skoda. Seat. BMW.Mersedes. Porcshe. Land-Rover,Москва,Калужское шоссе. 4 - 1 этаж,37.48415856,55.60428255,(495) 507-69-91. 8-916-809-72-96,www.avtokrug.ru,8:00-20:00,9:00-19:00,Наличный расчет. Оплата через банк. через банк
S1107,Автокузов+. автосервис,Независимый,Все марки,Москва,Красная Сосна. 14,37.68621698,55.84796389,(495) 774-83-22,www.autokuzovplus.ru,10:00-21:00,10:00-21:00,Наличный расчет. Оплата через банк. через банк
S1108,Автолегион. техцентр,Независимый,Все марки,Москва,Магистральная 3-я. 10 ст1 - 1 этаж,37.52303349,55.76298873,(495) 989-45-70. 8-903-723-03-68,autolegion.su,10:00-21:00,10:00-21:00,Наличный расчет
S1109,АВТОЛЕКС. технический центр,Независимый,Все марки,Москва,Добролюбова пер. 3 ст2,37.59204663,55.80956719,(495) 984-25-44. (495) 618-72-61,autoleks.ru,,,Наличный расчет. Оплата через банк. Visa. MasterCard. Diners Club. Золотая Корона. American Express. Maestro Card. Union Card. 
S1110,Автолик. автотехцентр,Независимый,Все марки,Москва,Ямского Поля 1-я. 17Б,37.58510268,55.78480837,,www.avtolik.net,10:00-19:00,10:00-19:00,Наличный расчет. Оплата через банк. через банк
S1111,АвтоЛюкс. СТО,Независимый,Все марки,Железнодорожный,Дальняя. 1,37.98036617,55.73957338,(495) 749-32-80,stoautolux.ru,9:00-19:00,10:00-16:00,Наличный расчет
S1112,Автолюкс-Ронам. автосервис,Независимый,Все марки,Москва,Каширское шоссе. 3 к1,37.62850597,55.67152824,(495) 722-56-35,,9:00-21:00,9:00-21:00,Наличный расчет. Оплата через банк. через банк
S1113,Автомагнат. автосервис,Независимый,Все марки,Москва,Алтуфьевское шоссе. 79г,37.58582176,55.88453467,(499) 902-53-32,www.automagnate.ru,,,Наличный расчет. Оплата через банк. Visa. MasterCard. через банк. Visa. MasterCard
S1114,Автомаксимум. автомастерская,Независимый,Все марки,Москва,Свободы. 35 ст9 - въезд с ул. Новопоселковая,37.44393114,55.84260921,8-901-538-22-88. 8-925-517-74-11. 8-903-011-61-61,www.avtomaximum.ru,9:00-21:00,9:00-21:00,Наличный расчет
S1115,АвтоМакс. автосервис,Независимый,Все марки,Москва,Сосновая аллея (Зеленоград). 7,37.24974538,55.98201809,8-916-200-36-37,www.zelavtomax.ru,,,Наличный расчет. Оплата через банк. через банк
S1116,АвтоМакс. автотехцентр,Независимый,Все марки,Москва,Силикатный 3-й проезд. 6 к1 ст10,37.50226833,55.76883021,(495) 649-50-75. 8-916-462-22-22,www.remontavto.su,,,Наличный расчет. Оплата через банк. Visa. MasterCard. через банк. Visa. MasterCard
S1117,Автомания24. техцентр,Независимый,Все марки,Москва,Елизаветинский пер. 10/2 ст9,37.67112667,55.76006899,(495) 233-30-05,automania24.ru,,,Наличный расчет. Оплата через банк. через банк
S1118,Автомаркет 2000. торгово-сервисная компания,Независимый, Audi. Volkswagen. BMW. Mercedes. Kia. Hyundai. Ford. Mazda,Москва,Кетчерская. вл3г,37.8257592,55.74502475,(495) 508-75-48. (495) 518-55-62,www.automarket2000.ru,,,Наличный расчет
S1119,Автомастерская на ул. Ватутина. 2,Независимый,Все марки,Химки,Ватутина (Сходня). 2,37.29094144,55.94325861,,,8:00-23:00,8:00-23:00,Наличный расчет
S1120,Автомастерская на ул. Степана Разина. 7 ст1,Независимый,Все марки,Балашиха,Степана Разина. 7 ст1,37.9312168,55.79101866,8-967-030-19-56,,0:00 - 24:00 ,0:00 - 24:00 ,Наличный расчет
S1121,Автомастерская на Уржумской. 1/3 ст2,Независимый,Все марки,Москва,Уржумская. 1/3 ст2,37.66193363,55.85193798,,,9:00-22:00,9:00-22:00,Наличный расчет
S1122,Автомастер. автосервис,Независимый,Все марки,Москва,Стартовая. 18,37.68530241,55.88635909,(495) 792-65-23,avtomaster77.ru,,,Наличный расчет
S1123,Автомастер. автотехцентр,Независимый,Все марки,Долгопрудный,Лихачёвский проспект. 28 - 1 этаж,37.49487419,55.91830106,(495) 408-83-94. (498) 705-53-06,www.a-mast.ru,9:30-21:00,9:30-21:00,Наличный расчет
S1124,Автомастер. СТО,Независимый,Все марки,Москва,Выборгская. 16 к2,37.49583082,55.83354183,8-916-563-30-45,www.automaster100.ru,9:30-20:00,выходной,Наличный расчет
S1125,Автомастер-14. автотехцентр,Независимый,Audi. Volkswagen. Skoda. Renault. Ford,Москва,Маршала Федоренко. 15 ст2,37.4847737,55.88310179,(495) 777-48-10. (495) 967-65-82,www.avt14.ru,,,Наличный расчет. Оплата через банк. через банк
S1126,Автомеханика-джип. автотехцентр,Независимый,Все марки,Москва,Алтуфьевское шоссе. 4а - 1 этаж,37.5887398,55.85090192,,avtomehanika-dzhip77.moskva-gid.info/,9:30-20:00,выходной,Наличный расчет
S1127,Автомеханик. автосервис. г. Юбилейный,Независимый,Все марки,Юбилейный,Тихонравова. вл1,37.82903463,55.93568022,8-925-334-44-95,,9:00-20:00,9:00-20:00,Наличный расчет
S1128,Автомир 2000. СТО,Независимый,Все марки,Москва,Башиловская. 31 - вход со двора,37.57214809,55.80616462,8-926-556-48-88. (495) 611-04-59,,10:00-19:00,10:00-19:00,Наличный расчет
S1129,Автомир. автосервис,Независимый,Все марки,Москва,Варшавское шоссе. 127 - въезд с ул. Днепропетровский проезд,37.61628854,55.62107681,(495) 995-77-17. (495) 995-77-27,,8:00-21:00,8:00-21:00,Наличный расчет. Оплата через банк. Visa. MasterCard. Золотая Корона. Maestro Card. 
S1130,АвтоМытищи. ООО,Независимый,Все марки,Мытищи (Мытищинский район),Силикатная. 32,37.78231698,55.93613903,8-926-528-73-86,автомытищи.рф,,,Наличный расчет
S1131,АВТОНАВТИКА. автосервис,Независимый,Mitsubishi. Nissan. Subaru. КIA. Hyundai. Ford. Chery. Geely.  GREAT WALL. BAW,Москва,Огородный проезд. 8 - 1 этаж,37.60455277,55.81308342,(495) 776-09-02,autonautica.ru,9:00-21:00,9:00-21:00,Наличный расчет
S1132,АВТОНОМ. автосервис,Независимый,Все марки,Реутов,Мира проспект. вл77,37.85864194,55.77715824,(495) 528-66-73,,9:00-18:00,выходной,Наличный расчет. Оплата через банк. через банк
S1133,АВТОПАРИТЕТ. автотехцентр,Независимый,Все марки,Москва,Высоковольтный проезд. 1 ст48,37.59489649,55.87528853,8-926-227-82-36,www.autoparity.ru,,,Наличный расчет. Оплата через банк. через банк
S1134,Автопарк. автосервис,Независимый,Все марки,Москва,Верейская. 29 ст2,37.42688913,55.71267961,(495) 725-06-04,,11:00-20:00,выходной,Наличный расчет. Оплата через банк. через банк
S1135,АВТОПЕГАС-21. автосервис,Независимый,Все марки,Москва,Большая Семёновская. 10 ст15,37.70149505,55.78226765,(495) 727-38-89,avtopegas21.ru,,,Наличный расчет
S1136,Автоплей. автосервис,Независимый,Все марки,Москва,Самокатная. 2а - 1 этаж,37.67712047,55.75864465,8-926-162-63-04. (495) 729-89-54,www.автоплей.рф,10:00-19:00,10:00-19:00,Наличный расчет
S1137,Автопомощь. служба эвакуации и ремонта автомобилей. г. Подольск,Независимый,Все марки,Подольск,Железнодорожная. 7,37.56743411,55.43319904,8-926-805-05-15,,9:00-21:00,9:00-21:00,Наличный расчет
S1138,Автопост 2000. автосервис,Независимый, Audi. Volkswagen. Mercedes. BMW. Skoda. Mini. Porsche. ,Москва,Остаповский проезд. 9 ст14 - 1 этаж,37.71378632,55.719734,,www.autopost.ru,9:00-21:00,9:00-21:00,Наличный расчет. Оплата через банк. Visa. MasterCard. через банк. Visa. MasterCard
S1139,Автопрайд. автосервис,Независимый,Все марки,Щёлково (Щёлковский район),Фряновское шоссе. 1Б ст1,38.01141053,55.92803937,8-926-556-82-62,,9:00-21:00,9:00-21:00,Наличный расчет. Оплата через банк. через банк
S1140,АвтоПрестиж. техцентр,Независимый,SsangYong. Hyundai. KIA ,Москва,Юрловский проезд. вл2а,37.62898321,55.86293145,(495) 514-53-27,www.ssangyong-remont.ru,9:00-20:00,9:00-20:00,Наличный расчет
S1141,Автоприз. автосервис,Независимый,"Audi.Volkswagen, Skoda. Seat. Porsche",Москва,Мартеновская. 22 ст3,37.80108662,55.75145503,8-917-589-30-29. (495) 727-78-00,,9:00-21:00,10:00-19:00,Наличный расчет. Visa. MasterCard. Maestro Card
S1142,Автопрофиль. автотехцентр,Независимый,Все марки,Москва,Севастопольский проспект. 28 к1 ст1,37.57735169,55.66494197,(495) 331-16-11. 8-915-314-26-91,www.auto-profile.com,10:00-21:00,10:00-21:00,Наличный расчет
S1143,АвтоПрофи. ООО. автосервис,Независимый,Все марки,Москва,Южнопортовый 2-й проезд. 10,37.69082962,55.69988189,8-909-981-70-77,,10:00-19:00,выходной,Наличный расчет. Оплата через банк. Visa. MasterCard. через банк. Visa. MasterCard
S1144,Авторадуга. техцентр,Независимый,Все марки,Москва,Люблинская. 18а,37.7316838,55.69593691,(495) 662-20-15,www.radugaservice.ru,10:00-20:00,10:00-20:00,Наличный расчет
S1145,Авторад. шинный сервис,Независимый,Все марки,Одинцово (Одинцовский район),Северная. 35в,37.25419845,55.6846237,8-916-411-67-27,,,,Наличный расчет
S1146,Авторай у Виталия. автосервис,Независимый,Все марки,Москва,Нижние Мнёвники. 39,37.45735704,55.75437259,8-964-783-86-64,,10:00-21:00,10:00-21:00,Наличный расчет
S1147,АвтоРай. автотехцентр,Независимый,Lland-Rover. Toyota. BMW. Jaguar. Lexus. MINI. Hyundai. KIA ,Красногорск (Красногорский район),Вокзальная. 27Б,37.34787792,55.81582782,(495) 517-44-55,www.5174455.ru,10:00-20:00,10:00-20:00,Наличный расчет. Оплата через банк. через банк
S1148,Авторелит. автотехцентр,Независимый,BMW. MINI,Люберцы (Люберецкий район),Инициативная. 38а,37.90484298,55.68212437,(495) 585-84-89,bmwmotors.ru,9:00-19:00,выходной,Наличный расчет
S1149,АвтоРемонтСервис. автосервис,Независимый,Все марки,Москва,Большая Юшуньская. 7Б - 1 этаж,37.59106101,55.64690645,(495) 318-86-18,,10:00-21:00,10:00-21:00,Наличный расчет
S1150,Авторемонт. ООО,Независимый,Все марки,Москва,Тропаревская. 4 - 1 этаж,37.4639975,55.66391549,(495) 438-11-38,www.avtolanko.ru,9:00-21:00,9:00-21:00,Наличный расчет. Оплата через банк. через банк
S1151,Авторемпласт. автомастерская,Независимый,Все марки,Москва,Варшавское шоссе. 37 к4 - 1 этаж,37.62746292,55.68738037,(495) 506-89-35. 8-916-801-77-80. 8-926-831-09-18,avtoremplast.ru,10:00-20:00,10:00-20:00,Наличный расчет. Оплата через банк. через банк
